id,name,recipe_url
186,Autumn in the Poconos,/cocktail/autumn-poconos
187,Autumn Negroni,/cocktail/autumn-negroni
188,Autumn's Dawn,/cocktail/autumns-dawn
189,Autumn Sour,/cocktail/autumn-sour
190,Autumn Spice,/cocktail/autumn-spice
191,La Avenida,/cocktail/la-avenida
192,AvernaPom,/cocktail/avernapom
193,Aviary's Bitter,/cocktail/aviarys-bitter
194,Avion de Papel,/cocktail/avion-de-papel
195,Autumn Sunset,/cocktail/autumn-sunset
196,Avenue Scotch,/cocktail/avenue-scotch
197,The Aves,/cocktail/aves
198,Aviation Cocktail,/cocktail/aviation-cocktail
199,Awakening,/cocktail/awakening
200,Azteca,/cocktail/azteca
201,Azteca Highball,/cocktail/azteca-highball
202,B Cubed,/cocktail/b-cubed
203,Babette's Supper Club,/cocktail/babettes-supper-club
204,"Baby, You're Driving",/cocktail/baby-youre-driving
205,Baby Zombie,/cocktail/baby-zombie
206,B Squared,/cocktail/b-squared
207,Baboso,/cocktail/baboso
208,The Baby's Finally Asleep,/cocktail/babys-finally-asleep
209,Back Stop,/cocktail/back-stop
210,Backseat Bingo,/cocktail/backseat-bingo
211,Bad Apple,/cocktail/bad-apple
212,Badaiquiri,/cocktail/badaiquiri
213,Bahama Mama A Moi,/cocktail/bahama-mama-moi
214,Baltic Black Negroni,/cocktail/baltic-black-negroni
215,Backwoods Cider,/cocktail/backwoods-cider
216,Bad Seed,/cocktail/bad-seed
217,Baguio Skin,/cocktail/baguio-skin
218,Bait and Switch,/cocktail/bait-and-switch
219,Baltimore Eggnog,/cocktail/baltimore-eggnog
220,The Bamboozled Angel,/cocktail/bamboozled-angel
221,Banana Boulevardier,/cocktail/banana-boulevardier
222,Banana Farmer,/cocktail/banana-farmer
223,Banana Manifesto,/cocktail/banana-manifesto
224,Bananas & Blow,/cocktail/bananas-blow
225,Banana Alexander,/cocktail/banana-alexander
226,Banana Bread Flip,/cocktail/banana-bread-flip
227,Banana Hammock,/cocktail/banana-hammock
228,Banana Stand (Rob Roy),/cocktail/banana-stand-rob-roy
229,Bananas Foster Flip,/cocktail/bananas-foster-flip
230,Banca Boat,/cocktail/banca-boat
231,Bang Bang Gang,/cocktail/bang-bang-gang
232,Bar Eats You,/cocktail/bar-eats-you
233,The Barbancourt Sazerac,/cocktail/barbancourt-sazerac
234,Barbotage,/cocktail/barbotage
235,The Bang Bang,/cocktail/bang-bang
236,Bankers Are Wankers,/cocktail/bankers-are-wankers
237,Bar Fly,/cocktail/bar-fly
238,Barbary Flip,/cocktail/barbary-flip
239,Barcelonnette,/cocktail/barcelonnette
240,A Barhopper's Sour,/cocktail/barhoppers-sour
241,Bark & Bite,/cocktail/bark-bite
242,Barlone Try,/cocktail/barlone-try
243,The Barrelman,/cocktail/barrelman
244,Basil Gimlet,/cocktail/basil-gimlet
245,Barista Old Fashioned,/cocktail/barista-old-fashioned
246,Bark at the Moon,/cocktail/bark-moon
247,Barnes Stormer,/cocktail/barnes-stormer
248,Basic Bitch,/cocktail/basic-bitch
249,Basil Gin and Tonic,/cocktail/basil-gin-and-tonic
250,Basilinia,/cocktail/basilinia
251,Batavia Arrack Flip,/cocktail/batavia-arrack-flip
252,The Battalion Three,/cocktail/battalion-three
253,Baverniess,/cocktail/baverniess
254,"Be Wise, Be Brave, Be Tricky",/cocktail/be-wise-be-brave-be-tricky
255,Bask,/cocktail/bask
256,Le Bateleur,/cocktail/le-bateleur
257,Battering Ram,/cocktail/battering-ram
258,BBC,/cocktail/bbc
259,Beach & Panorama,/cocktail/beach-panorama
260,Beach & Panorama #3,/cocktail/beach-panorama-3
261,Beach Fossils,/cocktail/beach-fossils
262,Beachnik,/cocktail/beachnik
263,The Beast,/cocktail/beast
264,Beatnik,/cocktail/beatnik
265,Beach Bitterness,/cocktail/beach-bitterness
266,Beachbum,/cocktail/beachbum
267,The Beachy Irishman,/cocktail/beachy-irishman
268,Beati Fumo di Nonino,/cocktail/beati-fumo-di-nonino
269,Beautiful Red Bell,/cocktail/beautiful-red-bell
270,Bebbo,/cocktail/bebbo
271,Bee Upon The Blossom,/cocktail/bee-upon-blossom
272,Beekeeper's Folly,/cocktail/beekeepers-folly
273,A Beer And A Smoke,/cocktail/beer-and-smoke
274,Beijinho,/cocktail/beijinho
275,Bech & Gall,/cocktail/bech-gall
276,Beekeeper's Apprentice,/cocktail/beekeepers-apprentice
277,Beemer,/cocktail/beemer
278,Beetox Margarita,/cocktail/beetox-margarita
279,Bel-ami,/cocktail/bel-ami
280,Bela Lugosi,/cocktail/bela-lugosi
281,The Bellman,/cocktail/bellman
282,Belmont,/cocktail/belmont
283,Ben Wade,/cocktail/ben-wade
284,Beneventano,/cocktail/beneventano
285,Belden Anti-hero,/cocktail/belden-anti-hero
286,Bells and Whistles,/cocktail/bells-and-whistles
287,The Ben Franklin,/cocktail/ben-franklin
288,Benediction,/cocktail/benediction
289,Benjamin Cooper,/cocktail/benjamin-cooper
290,Bennett Park,/cocktail/bennett-park
291,Benton's Old Fashioned,/cocktail/bentons-old-fashioned
292,Berkshire Daiquiri,/cocktail/berkshire-daiquiri
293,Bermuda Highway,/cocktail/bermuda-highway
294,Bernheim Buck,/cocktail/bernheim-buck
295,Benny Blanco,/cocktail/benny-blanco
296,Beren & Luthien,/cocktail/beren-luthien
297,Berlin in the 70s,/cocktail/berlin-70s
298,Bernard Black,/cocktail/bernard-black
299,Berry Dangerous Fix,/cocktail/berry-dangerous-fix
300,Berry Wall,/cocktail/berry-wall
301,Best In Show,/cocktail/best-show
302,Best Pal,/cocktail/best-pal
303,Better Sunday Afternoon,/cocktail/better-sunday-afternoon
304,Betty White,/cocktail/betty-white
305,Best Friend,/cocktail/best-friend
306,Best Intentions,/cocktail/best-intentions
307,Betsy,/cocktail/betsy
308,Bettinger Mulls,/cocktail/bettinger-mulls
309,Between borders,/cocktail/between-borders
310,Between the Leaves,/cocktail/between-leaves
311,"Bewitched, Bothered, & Bewildered",/cocktail/bewitched-bothered-bewildered
312,Bichon Frisé,/cocktail/bichon-frise
313,La Bicyclette,/cocktail/la-bicyclette
314,Big Spender,/cocktail/big-spender
315,(Beware the) Pink Slip,/cocktail/beware-pink-slip
316,Bianchi,/cocktail/bianchi
317,Bicycle Thief,/cocktail/bicycle-thief
318,Big Easy Sour,/cocktail/big-easy-sour
319,Bijou (Dry Vermouth),/cocktail/bijou-dry-vermouth
320,Bijou Bohème,/cocktail/bijou-boheme
321,Bikini Atoll,/cocktail/bikini-atoll
322,Bird in Flight,/cocktail/bird-flight
323,Birds & Bees,/cocktail/birds-bees
324,Bison Drop,/cocktail/bison-drop
325,Bijou des Alpes,/cocktail/bijou-des-alpes
326,Bim's Cup,/cocktail/bims-cup
327,Bird's Eye View,/cocktail/birds-eye-view
328,Bishdogg#1,/cocktail/bishdogg1
329,Bison Rut,/cocktail/bison-rut
330,Bitbia,/cocktail/bitbia
331,"Bitter, Bitter, Bitter, Bitter",/cocktail/bitter-bitter-bitter-bitter
332,Bitter Apricot,/cocktail/bitter-apricot
333,Bitter Cucumber,/cocktail/bitter-cucumber
334,Bitter Giuseppe,/cocktail/bitter-giuseppe
335,Bitches Brew,/cocktail/bitches-brew
336,Bitter Apple,/cocktail/bitter-apple
337,Bitter Chocolatier,/cocktail/bitter-chocolatier
338,Bitter Elder,/cocktail/bitter-elder
339,Bitter Grapefruit Fizz,/cocktail/bitter-grapefruit-fizz
340,Bitter Highlander,/cocktail/bitter-highlander
341,Bitter Jean,/cocktail/bitter-jean
342,Bitter Old Mule,/cocktail/bitter-old-mule
343,Bitter Raisin,/cocktail/bitter-raisin
344,Bitter Squeeze,/cocktail/bitter-squeeze
345,Bitter Intentions,/cocktail/bitter-intentions
346,Bitter Mai Tai,/cocktail/bitter-mai-tai
347,Bitter Optimist,/cocktail/bitter-optimist
348,Bitter Rival,/cocktail/bitter-rival
349,Bitter Swagger,/cocktail/bitter-swagger
350,Bitter Tears,/cocktail/bitter-tears
351,Bitter Tom,/cocktail/bitter-tom
352,Bittersweet,/cocktail/bittersweet
353,Bittersweet Reunion,/cocktail/bittersweet-reunion
354,Bizzy Izzy High Ball,/cocktail/bizzy-izzy-high-ball
355,Bitter Temptation,/cocktail/bitter-temptation
356,Bitter Winter,/cocktail/bitter-winter
357,The Bittersweet Garden,/cocktail/bittersweet-garden
358,Bittersweet Serenade,/cocktail/bittersweet-serenade
359,The BK,/cocktail/bk
360,Black Adonis,/cocktail/black-adonis
361,Black Cat,/cocktail/black-cat
362,Black Clover Club,/cocktail/black-clover-club
363,Black Hook,/cocktail/black-hook
364,Black Manhattan,/cocktail/black-manhattan
365,Black Bowtie Gimlet,/cocktail/black-bowtie-gimlet
366,Black Cherry,/cocktail/black-cherry
367,Black Cow,/cocktail/black-cow
368,Black Lodge,/cocktail/black-lodge
369,Black Manhattan (Cardamaro variation),/cocktail/black-manhattan-cardamaro-variation
370,Black Pagoda,/cocktail/black-pagoda
371,Black Rainbow,/cocktail/black-rainbow
372,Black Rose (Burritt Room),/cocktail/black-rose-burritt-room
373,Black Scott,/cocktail/black-scott
374,The Black Spot,/cocktail/black-spot
375,Black Pearl (Niku Version),/cocktail/black-pearl-niku-version
376,Black River Punch,/cocktail/black-river-punch
377,Black Sails in the Sunset,/cocktail/black-sails-sunset
378,Black Scottish Cyclops,/cocktail/black-scottish-cyclops
379,Black Stag,/cocktail/black-stag
380,Black Star,/cocktail/black-star
381,Black Walnut Boulevardier,/cocktail/black-walnut-boulevardier
382,The Black Watch,/cocktail/black-watch
383,Blackberry Buck,/cocktail/blackberry-buck
384,Blackberry on Rye,/cocktail/blackberry-rye
385,Black Tea Crusta In The Rye,/cocktail/black-tea-crusta-rye
386,Black Walnut Old Fashioned,/cocktail/black-walnut-old-fashioned
387,Blackbeard's Nephew,/cocktail/blackbeards-nephew
388,Blackberry Daiquiri,/cocktail/blackberry-daiquiri
389,Blackout in NYC,/cocktail/blackout-nyc
390,Blackstar,/cocktail/blackstar
391,Blaq Daq,/cocktail/blaq-daq
392,Blizzard in Jalisco,/cocktail/blizzard-jalisco
393,Blood & Famine,/cocktail/blood-famine
394,Blood in Your Whiskers,/cocktail/blood-your-whiskers
395,Blackthorn Bramble,/cocktail/blackthorn-bramble
396,Blind Date at Chelsea,/cocktail/blind-date-chelsea
397,Blond Adonis,/cocktail/blond-adonis
398,Blood Eagle,/cocktail/blood-eagle
399,Blood Orange,/cocktail/blood-orange
400,Blood and Sand (Death & Co),/cocktail/blood-and-sand-death-co
401,Bloodstream,/cocktail/bloodstream
402,Bloody Sidecar,/cocktail/bloody-sidecar
403,Blown Rose,/cocktail/blown-rose
404,Blue Collar Cocktail,/cocktail/blue-collar-cocktail
405,The Bloodborne of Beverages,/cocktail/bloodborne-beverages
406,Bloody Mary,/cocktail/bloody-mary
407,Bloody Yeoman,/cocktail/bloody-yeoman
408,Blue Cobbler,/cocktail/blue-cobbler
409,The Blue Hour,/cocktail/blue-hour
410,Blue Monday,/cocktail/blue-monday
411,Blue Steel,/cocktail/blue-steel
412,Blueberry Patch,/cocktail/blueberry-patch
413,Blues from a Gun,/cocktail/blues-gun
414,The Blur,/cocktail/blur
415,Blue Sky Summer,/cocktail/blue-sky-summer
416,Bluebeard,/cocktail/bluebeard
417,Blueberry Sour,/cocktail/blueberry-sour
418,Blunderbuss,/cocktail/blunderbuss
419,Blushing Geisha,/cocktail/blushing-geisha
420,Boardwalk Flyer,/cocktail/boardwalk-flyer
421,Boat Shoes,/cocktail/boat-shoes
422,Body Shop,/cocktail/body-shop
423,Bohemian Cooler,/cocktail/bohemian-cooler
424,Bologna Sour,/cocktail/bologna-sour
425,Boat House Punch,/cocktail/boat-house-punch
426,Bodhicitta,/cocktail/bodhicitta
427,Bogged Down Mule,/cocktail/bogged-down-mule
428,Bokor,/cocktail/bokor
429,Bombardier,/cocktail/bombardier
430,Bombay Afternoon,/cocktail/bombay-afternoon
431,Le Bon Mot,/cocktail/le-bon-mot
432,Bonbon Amer,/cocktail/bonbon-amer
433,Bonnie & Clyde,/cocktail/bonnie-clyde
434,Boo Loo Jiang,/cocktail/boo-loo-jiang
435,Bombay Sour,/cocktail/bombay-sour
436,Bona Drag,/cocktail/bona-drag
437,Bonds of Earth,/cocktail/bonds-earth
438,Boo Loo,/cocktail/boo-loo
439,The Book Deal,/cocktail/the-book-deal
440,Boomerang,/cocktail/boomerang
441,Booster Gold,/cocktail/booster-gold
